Marca temporal,Participante,Carrera,Primer puesto,Segundo puesto,Tercer puesto,Cuarto puesto,Quinto puesto,Sexto puesto,Séptimo puesto,Octavo puesto,Noveno puesto,Décimo puesto,Vuelta Rápida,Franco Colapinto
24/05/2026 13:41:17,eugeniabanini,Canada,George Russell,Kimi Antonelli,Lando Norris,Lewis Hamilton,Oscar Piastri,Max Verstappen,Isack Hadjar,Charles Leclerc,Franco Colapinto,Arvid Lindblad,Kimi Antonelli,Noveno Puesto
24/05/2026 14:20:04,alinaiaraceleste,Canada,George Russell,Kimi Antonelli,Oscar Piastri,Lando Norris,Charles Leclerc,Lewis Hamilton,Max Verstappen,Isack Hadjar,Franco Colapinto,Pierre Gasly,Kimi Antonelli,Noveno Puesto
24/05/2026 14:23:40,lautarotourres,Canada,George Russell,Kimi Antonelli,Lando Norris,Max Verstappen,Oscar Piastri,Lewis Hamilton,Isack Hadjar,Arvid Lindblad,Charles Leclerc,Franco Colapinto,Kimi Antonelli,Décimo Puesto
24/05/2026 14:58:25,sergiopede92,Canada,Lando Norris,George Russell,Oscar Piastri,Charles Leclerc,Max Verstappen,Lewis Hamilton,Kimi Antonelli,Fernando Alonso,Alex Albon,Pierre Gasly,George Russell,Décimo Cuarto Puesto
24/05/2026 15:20:04,riquerole,Canada,Kimi Antonelli,George Russell,Lewis Hamilton,Lando Norris,Oscar Piastri,Charles Leclerc,Max Verstappen,Isack Hadjar,Franco Colapinto,Pierre Gasly,Lewis Hamilton,Noveno Puesto
24/05/2026 15:46:24,riquerorori1993,Canada,George Russell,Kimi Antonelli,Lando Norris,Oscar Piastri,Lewis Hamilton,Max Verstappen,Charles Leclerc,Franco Colapinto,Pierre Gasly,Isack Hadjar,Lando Norris,Octavo Puesto
24/05/2026 15:50:28,riqueropetiniha,Canada,Kimi Antonelli,Lando Norris,George Russell,Lewis Hamilton,Oscar Piastri,Max Verstappen,Franco Colapinto,Arvid Lindblad,Isack Hadjar,Carlos Sainz,Lando Norris,Séptimo Puesto
24/05/2026 16:29:23,friquero,Canada,Kimi Antonelli,Lando Norris,George Russell,Oscar Piastri,Max Verstappen,Charles Leclerc,Lewis Hamilton,Arvid Lindblad,Franco Colapinto,Isack Hadjar,Kimi Antonelli,Noveno Puesto
24/05/2026 16:33:16,miriquero,Canada,George Russell,Kimi Antonelli,Lando Norris,Oscar Piastri,Max Verstappen,Lewis Hamilton,Charles Leclerc,Isack Hadjar,Franco Colapinto,Pierre Gasly,George Russell,Octavo Puesto
24/05/2026 16:37:40,damiantourres,Canada,Lando Norris,Kimi Antonelli,Max Verstappen,Charles Leclerc,Oscar Piastri,Lewis Hamilton,Isack Hadjar,Liam Lawson,Franco Colapinto,Gabriel Bortoletto,Lando Norris,Noveno Puesto
